Pos.,AuthorKeywords,Total,AGR,ADY,PDLY,hIndex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Recommender Systems,149,8.0,26.5,35.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,3,8,5,10,14,17,15,14,23,30
2,Tourism,105,-1.5,16.0,30.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,2,6,4,4,5,11,10,21,14,18
3,Recommender System,103,5.0,17.0,33.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,9,6,1,17,11,13,11,23
4,Collaborative filtering,57,1.5,11.0,38.6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,5,8,4,9,10,12
5,Recommendation system,56,-0.5,11.5,41.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,5,8,12,12,11
6,Personalization,50,0.0,6.5,26.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,3,1,3,3,2,9,5,5,8,5
7,Recommendation,41,-0.5,6.5,31.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,2,3,0,5,9,5,8
8,Emotion,39,-1.5,5.5,28.2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,4,4,6,8,3
9,Sentiment Analysis,37,3.0,11.0,59.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,7,9,13
10,Machine learning,36,-0.5,9.0,50.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,0,9,10,8
