Pos.,Topic AuthorKeywords,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
1,Recommender Systems,149,,,,,,,,,,,
,,,371,WOS:000355882700002,2015,Recommender system application developments: A survey,"A recommender system aims to provide users with personalized online product or service recommendations to handle the increasing online information overload problem and improve customer relationship management. Various recommender system techniques have been proposed since the mid-1990s, and many sorts of recommender system software have been developed recently for a variety of applications. Researchers and managers recognize that recommender systems offer great opportunities and challenges for business, government, education, and other domains, with more recent successful developments of recommender systems for real-world applications becoming apparent. It is thus vital that a high quality, instructive review of current trends should be conducted, not only of the theoretical research results but more importantly of the practical developments in recommender systems. This paper therefore reviews up-to-date application developments of recommender systems, clusters their applications into eight main categories: e-government, e-business, e-commerce/e-shopping, e-library, e-learning, e-tourism, e-resource services and e-group activities, and summarizes the related recommendation techniques used in each category. It systematically examines the reported recommender systems through four dimensions: recommendation methods (such as CF), recommender systems software (such as BizSeeker), real-world application domains (such as e-business) and application platforms (such as mobile-based platforms). Some significant new topics are identified and listed as new directions. By providing a stateof-the-art knowledge, this survey will directly support researchers and practical professionals in their understanding of developments in recommender system applications. (C) 2015 Elsevier B.V. All rights reserved.",Article,"Lu, J.; Wu, D.S.; Mao, M.S.; Wang, W.; Zhang, G.Q.",Recommender systems; E-service personalization; E-commerce; E-learning; E-government,Recommender systems;E-service personalization;E-commerce;E-learning;E-government;SINGULAR-VALUE DECOMPOSITION;PERSONALIZED RECOMMENDATION;WEB USAGE;COLLABORATIVE RECOMMENDATION;RESEARCH RESOURCES;LISTINGS SERVICE;INFORMATION;TRUST;FRAMEWORK;SUPPORT,Australia,
,,,183,WOS:000340689700035,2014,Intelligent tourism recommender systems: A survey,"Recommender systems are currently being applied in many different domains. This paper focuses on their application in tourism. A comprehensive and thorough search of the smart e-Tourism recommenders reported in the Artificial Intelligence journals and conferences since 2008 has been made. The paper provides a detailed and up-to-date survey of the field, considering the different kinds of interfaces, the diversity of recommendation algorithms, the functionalities offered by these systems and their use of Artificial Intelligence techniques. The survey also provides some guidelines for the construction of tourism recommenders and outlines the most promising areas of work in the field for the next years. (C) 2014 Elsevier Ltd. All rights reserved.",Review,"Borras, J.; Moreno, A.; Valls, A.",Recommender systems; Tourism; Ontologies; Planning; Clustering,Recommender systems;Tourism;Ontologies;Planning;Clustering;PERSONALIZED RECOMMENDATION;BAYESIAN NETWORK;ATTRACTIONS;TAXONOMY;DESIGN,Spain,2-s2.0-84904341354
,,,120,WOS:000352779000001,2015,Recommender systems based on user reviews: the state of the art,"In recent years, a variety of review-based recommender systems have been developed, with the goal of incorporating the valuable information in user-generated textual reviews into the user modeling and recommending process. Advanced text analysis and opinion mining techniques enable the extraction of various types of review elements, such as the discussed topics, the multi-faceted nature of opinions, contextual information, comparative opinions, and reviewers' emotions. In this article, we provide a comprehensive overview of how the review elements have been exploited to improve standard content-based recommending, collaborative filtering, and preference-based product ranking techniques. The review-based recommender system's ability to alleviate the well-known rating sparsity and cold-start problems is emphasized. This survey classifies state-of-the-art studies into two principal branches: review-based user profile building and review-based product profile building. In the user profile sub-branch, the reviews are not only used to create term-based profiles, but also to infer or enhance ratings. Multi-faceted opinions can further be exploited to derive the weight/value preferences that users place on particular features. In another sub-branch, the product profile can be enriched with feature opinions or comparative opinions to better reflect its assessment quality. The merit of each branch of work is discussed in terms of both algorithm development and the way in which the proposed algorithms are evaluated. In addition, we discuss several future trends based on the survey, which may inspire investigators to pursue additional studies in this area.",Review,"Chen, L.; Chen, G.L.; Wang, F.",Recommender systems; User reviews; Text analysis; Opinion mining; User profile building; Product profile building; Content-based recommending; Collaborative filtering; Preference-based product ranking,Recommender systems;User reviews;Text analysis;Opinion mining;User profile building;Product profile building;Content-based recommending;Collaborative filtering;Preference-based product ranking;SIMILARITY,China,
,,,105,WOS:000288343900143,2011,On the design of individual and group recommender systems for tourism,"This paper presents a recommender system for tourism based on the tastes of the users, their demographic classification and the places they have visited in former trips. The system is able to offer recommendations for a single user or a group of users. The group recommendation is elicited out of the individual personal recommendations through the application of mechanisms such as aggregation and intersection. The elicitation mechanism is implemented as an extension of e-Tourism, a user-adapted tourism and leisure application whose main component is the Generalist Recommender System Kernel (GRSK), a domain-independent taxonomy-driven recommender system. (C) 2010 Elsevier Ltd. All rights reserved.",Article,"Garcia, I.; Sebastia, L.; Onaindia, E.",Recommender systems; Group recommenders; Tourism,Recommender systems;Group recommenders;Tourism,Spain,2-s2.0-79951581797
,,,83,WOS:000316581300021,2013,A hybrid recommendation approach for a tourism system,"Many current e-commerce systems provide personalization when their content is shown to users. In this sense, recommender systems make personalized suggestions and provide information of items available in the system. Nowadays, there is a vast amount of methods, including data mining techniques that can be employed for personalization in recommender systems. However, these methods are still quite vulnerable to some limitations and shortcomings related to recommender environment. In order to deal with some of them, in this work we implement a recommendation methodology in a recommender system for tourism, where classification based on association is applied. Classification based on association methods, also named associative classification methods, consist of an alternative data mining technique, which combines concepts from classification and association in order to allow association rules to be employed in a prediction context. The proposed methodology was evaluated in some case studies, where we could verify that it is able to shorten limitations presented in recommender systems and to enhance recommendation quality. (C) 2012 Elsevier Ltd. All rights reserved.",Article,"Lucas, J.P.; Luz, N.; Moreno, M.N.; Anacleto, R.; Figueiredo, A.A.; Martins, C.",Recommender systems; Associative classification; Fuzzy logic,Recommender systems;Associative classification;Fuzzy logic;FUZZY-LOGIC;ALLEVIATE,Spain;Portugal,2-s2.0-84874659189
,,,80,WOS:000375507700002,2016,Interactive recommender systems: A survey of the state of the art and future research challenges and opportunities,"Recommender systems have been researched extensively over the past decades. Whereas several algorithms have been developed and deployed in various application domains, recent research efforts are increasingly oriented towards the user experience of recommender systems. This research goes beyond accuracy of recommendation algorithms and focuses on various human factors that affect acceptance of recommendations, such as user satisfaction, trust, transparency and sense of control. In this paper, we present an interactive visualization framework that combines recommendation with visualization techniques to support human-recommender interaction. Then, we analyze existing interactive recommender systems along the dimensions of our framework, including our work. Based on our survey results, we present future research challenges and opportunities. (C) 2016 Elsevier Ltd. All rights reserved.",Article,"He, C.; Parra, D.; Verbert, K.",Recommender systems; Visualization; User control,Recommender systems;Visualization;User control;INFORMATION VISUALIZATION;NAVIGATION;EMOTION,Belgium;Chile,
,,,71,WOS:000240914200005,2006,In pursuit of satisfaction and the prevention of embarrassment: affective state in group recommender systems,"This paper deals in depth with some of the emotions that play a role in a group recommender system, which recommends sequences of items to a group of users. First, it describes algorithms to model and predict the satisfaction experienced by individuals. Satisfaction is treated as an affective state. In particular, we model the decay of emotion over time and assimilation effects, where the affective state produced by previous items influences the impact on satisfaction of the next item. We compare the algorithms with each other, and investigate the effect of parameter values by comparing the algorithms' predictions with the results of an earlier empirical study. We discuss the difficulty of evaluating affective models, and present an experiment in a learning domain to show how some empirical evaluation can be done. Secondly, this paper proposes modifications to the algorithms to deal with the effect on an individual's satisfaction of that of others in the group. In particular, we model emotional contagion and conformity, and consider the impact of different relationship types. Thirdly, this paper explores the issue of privacy (feeling safe, not accidentally disclosing private tastes to others in the group) which is related to the emotion of embarrassment. It investigates the effect on privacy of different group aggregation strategies and proposes to add a virtual member to the group to further improve privacy.",Article,"Masthoff, J.; Gatt, A.",group modelling; affective state; satisfaction; recommender systems; privacy,group modelling;affective state;satisfaction;recommender systems;privacy;EMOTIONAL CONTAGION;MOOD;TELEVISION;BEHAVIOR;CONTEXT;PROGRAM;IMPACT,United Kingdom,
,,,68,WOS:000329051000002,2014,A Cocktail Approach for Travel Package Recommendation,"Recent years have witnessed an increased interest in recommender systems. Despite significant progress in this field, there still remain numerous avenues to explore. Indeed, this paper provides a study of exploiting online travel information for personalized travel package recommendation. A critical challenge along this line is to address the unique characteristics of travel data, which distinguish travel packages from traditional items for recommendation. To that end, in this paper, we first analyze the characteristics of the existing travel packages and develop a tourist-area-season topic (TAST) model. This TAST model can represent travel packages and tourists by different topic distributions, where the topic extraction is conditioned on both the tourists and the intrinsic features (i.e., locations, travel seasons) of the landscapes. Then, based on this topic model representation, we propose a cocktail approach to generate the lists for personalized travel package recommendation. Furthermore, we extend the TAST model to the tourist-relation-area-season topic (TRAST) model for capturing the latent relationships among the tourists in each travel group. Finally, we evaluate the TAST model, the TRAST model, and the cocktail recommendation approach on the real-world travel package data. Experimental results show that the TAST model can effectively capture the unique characteristics of the travel data and the cocktail approach is, thus, much more effective than traditional recommendation techniques for travel package recommendation. Also, by considering tourist relationships, the TRAST model can be used as an effective assessment for travel group formation.",Article,"Liu, Q.; Chen, E.H.; Xiong, H.; Ge, Y.; Li, Z.M.; Wu, X.",Travel package; recommender systems; cocktail; topic modeling; collaborative filtering,Travel package;recommender systems;cocktail;topic modeling;collaborative filtering;SYSTEMS,China;United States,2-s2.0-84891753780
,,,60,2-s2.0-84968765176,2015,"Who, what, when, and where: Multi-dimensional collaborative recommendations using tensor factorization on sparse user-generated data","Given the abundance of online information available to mobile users, particularly tourists and weekend travelers, recommender systems that effectively filter this information and suggest interesting participatory opportunities will become increasingly important. Previous work has explored recommending interesting locations; however, users would also benefit from recommendations for activities in which to participate at those locations along with suitable times and days. Thus, systems that provide collaborative recommendations involving multiple dimensions such as location, activities and time would enhance the overall experience of users.The relationship among these dimensions can be modeled by higherorder matrices called tensors which are then solved by tensor factorization. However, these tensors can be extremely sparse. In this paper, we present a system and an approach for performing multidimensional collaborative recommendations for Who (User), What (Activity), When (Time) and Where (Location), using tensor factorization on sparse user-generated data. We formulate an objective function which simultaneously factorizes coupled tensors and matrices constructed from heterogeneous data sources. We evaluate our system and approach on large-scale real world data sets consisting of 588,000 Flickr photos collected from three major metro regions in USA. We compare our approach with several state-ofthe-art baselines and demonstrate that it outperforms all of them.",Conference Paper,Bhargava P.; Phan T.; Zhou J.; Lee J.,Collaborative recommendations; Multi-dimensional recommendations; Recommender systems; Tensor factorization,Collaborative recommendations;Multi-dimensional recommendations;Recommender systems;Tensor factorization;Factorization;Location;Matrix algebra;Online systems;Virtual reality;World Wide Web;Collaborative recommendation;Heterogeneous data sources;Multi dimensional;Multiple dimensions;Objective functions;On-line information;User-generated;Tensors,United States,
