Pos.,AuthorKeywords,Total,AGR,ADY,PDLY,hIndex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Recommender Systems,154,-9.0,17.5,22.7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,3,8,5,10,14,17,15,14,23,30,5
2,Tourism,114,-2.5,13.5,23.7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,2,6,4,4,5,11,10,21,14,18,9
3,Recommender System,108,-3.0,14.0,25.9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,9,6,1,17,11,13,11,23,5
4,Collaborative filtering,63,-2.0,9.0,28.6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,5,8,4,9,10,12,6
5,Recommendation system,61,-3.5,8.0,26.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,5,8,12,12,11,5
6,Personalization,53,-2.5,4.0,15.1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,3,1,3,3,2,9,5,5,8,5,3
7,Machine learning,45,-0.5,8.5,37.8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,0,9,10,8,9
8,Recommendation,44,-1.0,5.5,25.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,2,3,0,5,9,5,8,3
9,Emotion,40,-3.5,2.0,10.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,4,4,6,8,3,1
10,Sentiment analysis,39,-3.5,7.5,38.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,7,9,13,2
11,Ontology,36,-0.5,3.0,16.7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,4,2,3,5,3,2,5,1
12,Affective computing,34,-3.5,3.0,17.6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,2,1,6,5,8,5,1
13,Emotions,32,1.5,5.0,31.2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,3,5,3,4,1,6,4
14,E-tourism,29,0.5,4.0,27.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,3,2,2,2,3,4,4
15,Recommendation systems,28,-0.5,3.5,25.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,4,1,3,4,3,5,2
16,Data mining,22,-1.5,4.0,36.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,0,5,6,2
17,Music recommendation,22,-1.5,2.5,22.7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,2,0,5,4,4,1
18,Emotion recognition,21,-1.5,2.0,19.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,0,1,1,3,5,2,2
19,social network,20,-1.0,1.0,10.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,3,3,5,2,2,0
20,Clustering,19,-1.5,2.0,21.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,5,3,4,0
21,Social media,19,-1.0,1.5,15.8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,4,4,2,3,0
22,User modeling,19,-1.5,2.0,21.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,2,0,1,0,2,3,4,0
23,semantic web,18,-1.5,0.5,5.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,3,0,2,0,1,3,1,0
24,Group recommendation,17,-1.0,2.5,29.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,1,0,2,5,0
25,Mobile application,16,-1.5,0.5,6.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,5,1,3,1,0
26,Personality,16,-2.5,0.5,6.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,2,1,5,1,0
27,Social networks,16,-1.5,0.5,6.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,4,3,1,0
